property_id,living_area,total_area,rooms,bathrooms,bedrooms,garage,garden,balcony,furnished,pool,floors,price,latitude,longitude,type_apartment,type_house,description
10,75.0,75.0,3.0,1.0,2.0,0,0,0,0,0,4.0,144278.0,36.8002068,10.1857757,0,1,"This property offers 75 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 4 floors. Ideal for residential use. The asking price is approximately 144278 TND."
11,85.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,278606.0,35.8288284,10.6405254,0,1,"This property offers 85 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 278606 TND."
12,92.0,92.0,2.0,1.0,3.0,0,0,0,0,0,2.0,353233.0,36.4012665,10.5572826516,0,1,"This property offers 92 m² of living space on a 180 m² plot. It includes 2 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 353233 TND."
13,100.0,100.0,3.0,1.0,2.0,0,0,1,0,0,2.0,248757.0,36.7624363,9.8336190783,0,1,"This property offers 100 m² of living space on a 180 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 248757 TND."
14,152.0,192.0,4.0,2.0,3.0,1,0,0,0,0,1.0,520000.0,36.385973755,10.4582026824,0,1,"This property offers 152 m² of living space on a 152 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. It also features a garage. Ideal for residential use. The asking price is approximately 520000 TND."
15,250.0,250.0,4.0,1.0,3.0,0,0,0,0,0,2.0,890549.0,35.8749788,10.5935183037,0,0,"This property offers 250 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. The asking price is approximately 890549 TND."
16,270.0,170.0,4.0,1.0,3.0,0,1,1,0,0,2.0,980000.0,36.8790882,10.327678,0,1,"This property offers 270 m² of living space on a 170 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. It also features a balcony, a garden. Ideal for residential use. The asking price is approximately 980000 TND."
17,250.0,192.0,4.0,1.0,3.0,0,0,0,0,0,2.0,527364.0,35.8288284,10.6405254,0,1,"This property offers 250 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 527364 TND."
18,163.0,192.0,4.0,2.0,3.0,0,0,1,0,0,6.0,360000.0,36.8622616,10.1697459,0,1,"This property offers 163 m² of living space on a 163 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. The property spans 6 floors. It also features a balcony. Ideal for residential use. The asking price is approximately 360000 TND."
19,118.0,192.0,3.0,1.0,2.0,0,0,0,0,0,2.0,432267.0,36.8811985,10.211819,0,1,"This property offers 118 m² of living space on a 118 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 432267 TND."
20,70.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,199004.0,35.8288284,11.0605524,0,1,"This property offers 70 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 199004 TND."
21,150.0,150.0,4.0,2.0,3.0,0,0,1,0,0,1.0,447762.0,36.8002068,10.1857757,0,1,"This property offers 150 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 2 bathrooms. It also features a balcony. Ideal for residential use. The asking price is approximately 447762 TND."
22,140.0,120.0,3.0,1.0,2.0,0,1,1,0,1,5.0,335000.0,35.912553,10.5758134,0,1,"This property offers 140 m² of living space on a 120 m² plot. It includes 3 rooms, 2 bedrooms, and 1 bathrooms. The property spans 5 floors. It also features a balcony, a garden, a swimming pool. Ideal for residential use. The asking price is approximately 335000 TND."
23,163.0,162.0,4.0,1.0,3.0,0,0,0,0,0,7.0,363832.0,35.8288284,10.6405254,0,1,"This property offers 163 m² of living space on a 180 m² plot. It includes 4 rooms, 3 bedrooms, and 1 bathrooms. The property spans 7 floors. Ideal for residential use. The asking price is approximately 363832 TND."
24,96.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,348258.0,35.8288284,10.6405254,0,1,"This property offers 96 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 348258 TND."
25,96.0,192.0,3.0,1.0,3.0,0,0,0,0,0,2.0,348258.0,35.8288284,10.6405254,0,1,"This property offers 96 m² of living space on a 180 m² plot. It includes 3 rooms, 3 bedrooms, and 1 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 348258 TND."
26,160.0,192.0,3.0,2.0,2.0,0,0,0,0,0,2.0,778550.0,36.8601075,10.2898885,0,1,"This property offers 160 m² of living space on a 160 m² plot. It includes 3 rooms, 2 bedrooms, and 2 bathrooms. The property spans 2 floors. Ideal for residential use. The asking price is approximately 778550 TND."
